taxa,Taxonomic.status,oldtaxa
achillea_millefolium,Accepted,achillea_millefolium
aconitum_columbianum,Accepted,aconitum_columbianum
agoseris_aurantiaca,Accepted,agoseris_aurantiaca
agropyron_cristatum,Accepted,agropyron_cristatum
allium_schoenoprasum,Accepted,allium_schoenoprasum
amelanchier_utahensis,Accepted,amelanchier_utahensis
androsace_septentrionalis,Accepted,androsace_septentrionalis
aquilegia_caerulea,Accepted,aquilegia_coerulea
boechera_crandallii,Synonym,arabis_crandallii
boechera_fendleri,Synonym,arabis_fendleri
arnica_cordifolia,Accepted,arnica_cordifolia
artemisia_cana,Accepted,artemisia_cana
artemisia_frigida,Accepted,artemisia_frigida
artemisia_tridentata,Accepted,artemisia_tridentata
symphyotrichum_foliaceum,Synonym,aster_foliaceus
balsamorhiza_sagittata,Accepted,balsamorhiza_sagittata
bromus_ciliatus,Synonym,bromus_canadensis
bromus_carinatus,Accepted,bromus_carinatus
bromus_ciliatus,Accepted,bromus_ciliatus
bromus_inermis,Accepted,bromus_inermis
capsella_bursa-pastoris,Accepted,capsella_bursa-pastoris
carex_aquatilis,Accepted,carex_aquatilis
carex_breweri,Accepted,carex_breweri
carex_geyeri,Accepted,carex_geyeri
carex_sp.,,carex_sp.
castilleja_angustifolia,Accepted,castilleja_angustifolia
castilleja_sulphurea,Accepted,castilleja_sulphurea
epilobium_angustifolium,Synonym,chamerion_angustifolium
leucanthemum_vulgare,Synonym,chrysanthemum_leucanthemum
chrysothamnus_depressus,Accepted,chrysothamnus_depressus
chrysothamnus_sp.,,chrysothamnus_sp.
chrysothamnus_viscidiflorus,Accepted,chrysothamnus_viscidiflorus
cirsium_undulatum,Accepted,cirsium_undulatum
claytonia_lanceolata,Accepted,claytonia_lanceolata
clematis_hirsutissima,Accepted,clematis_hirsutissima
collomia_linearis,Accepted,collomia_linearis
crepis_occidentalis,Accepted,crepis_occidentalis
cymopterus_alpinus,Accepted,cymopterus_alpinus
cymopterus_lemmonii,Accepted,cymopterus_lemmonii
cynoglossum_officinale,Accepted,cynoglossum_officinale
delphinium_barbeyi,Accepted,delphinium_barbeyi
delphinium_nuttallianum,Accepted,delphinium_nuttallianum
draba_spectabilis,Accepted,draba_spectabilis
epilobium_halleanum,Accepted,epilobium_halleanum
ericameria_parryi,Accepted,ericameria_parryi
erigeron_acris,Accepted,erigeron_acris
erigeron_uintahensis,Accepted,erigeron_uintahensis
eriogonum_umbellatum,Accepted,eriogonum_umbellatum
erythronium_grandiflorum,Accepted,erythronium_grandiflorum
festuca_arizonica,Accepted,festuca_arizonica
festuca_brachyphylla,Accepted,festuca_brachyphylla
fragaria_virginiana,Accepted,fragaria_virginiana
frasera_speciosa,Accepted,frasera_speciosa
galium_boreale,Accepted,galium_boreale
gayophytum_racemosum,Accepted,gayophytum_racemosum
gentiana_affinis,Synonym,gentiana_bigelovii
gentiana_parryi,Accepted,gentiana_parryi
geranium_richardsonii,Accepted,geranium_richardsonii
geranium_viscosissimum,Accepted,geranium_viscosissimum
geum_triflorum,Accepted,geum_triflorum
helianthella_quinquenervis,Accepted,helianthella_quinquenervis
heracleum_sphondylium,Accepted,heracleum_sphondylium
heterotheca_villosa,Accepted,heterotheca_villosa
hordeum_jubatum,Accepted,hordeum_jubatum
hymenoxys_hoopesii,Accepted,hymenoxys_hoopesii
ipomopsis_aggregata,Accepted,ipomopsis_aggregata
iris_missouriensis,Accepted,iris_missouriensis
juncus_arcticus,Accepted,juncus_arcticus
juncus_longistylis,Accepted,juncus_longistylis
koeleria_macrantha,Accepted,koeleria_macrantha
lathyrus_lanszwertii,Accepted,lathyrus_lanszwertii
ligusticum_porteri,Unresolved,ligusticum_porteri
ligusticum_tenuifolium,Accepted,ligusticum_tenuifolium
linum_lewisii,Accepted,linum_lewisii
lonicera_involucrata,Accepted,lonicera_involucrata
lupinus_sp.,,lupinus_sp.
berberis_repens,Synonym,mahonia_repens
maianthemum_racemosum,Accepted,maianthemum_racemosum
melica_spectabilis,Accepted,melica_spectabilis
mertensia_ciliata,Accepted,mertensia_ciliata
mertensia_fusiformis,Accepted,mertensia_fusiformis
mertensia_sp.,,mertensia_sp.
thlaspi_montanum,Synonym,noccaea_montana
oryzopsis_hymenoides,Accepted,oryzopsis_hymenoides
osmorhiza_occidentalis,Accepted,osmorhiza_occidentalis
paxistima_myrsinites,Accepted,paxistima_myrsinites
pedicularis_bracteosa,Accepted,pedicularis_bracteosa
penstemon_crandallii,Accepted,penstemon_crandallii
phlox_hoodii,Accepted,phlox_hoodii
poa_pratensis,Accepted,poa_pratensis
poa_reflexa,Accepted,poa_reflexa
polemonium_foliosissimum,Accepted,polemonium_foliosissimum
polygonum_douglasii,Accepted,polygonum_douglasii
dasiphora_fruticosa,Synonym,potentilla_fruticosa
potentilla_gracilis,Accepted,potentilla_gracilis
