Plant,Wind Speed,Transpiration,Treatment
1,0,-0.0001283,0
1,2.275,-0.0001246,1
1,2.87,-0.00009225,2
1,3.17,-0.00008557,3
2,0,0.000001803,0
2,2.178,-0.00002269,1
2,2.602,-5.675E-07,2
2,2.905,-6.935E-07,3
3,0,-0.00022044,0
3,2.166,-0.0001461,1
3,2.589,-0.00012218,2
3,2.916,-0.000102,3
4,0,-2.219E-09,0
4,2.251,-0.00002194,1
4,2.674,-0.00001626,2
4,3.013,-0.00001773,3
5,0,-0.00002141,0
5,2.287,0.000006267,1
5,2.82,0.000003566,2
5,3.264,-0.000003034,3
6,0,-0.000002256,0
6,2.335,-9.192E-07,1
6,2.808,-4.351E-07,2
6,3.134,6.6066E-07,3
